artist_id,track_id
a1b2c3d4-1234-5678-9000-000000000001,t1a2b3c4-1234-5678-9000-000000000001
a1b2c3d4-1234-5678-9000-000000000001,t1a2b3c4-1234-5678-9000-000000000002
a1b2c3d4-1234-5678-9000-000000000002,t1a2b3c4-1234-5678-9000-000000000003
a1b2c3d4-1234-5678-9000-000000000002,t1a2b3c4-1234-5678-9000-000000000004
a1b2c3d4-1234-5678-9000-000000000004,t1a2b3c4-1234-5678-9000-000000000005
a1b2c3d4-1234-5678-9000-000000000004,t1a2b3c4-1234-5678-9000-000000000006
a1b2c3d4-1234-5678-9000-000000000005,t1a2b3c4-1234-5678-9000-000000000007
a1b2c3d4-1234-5678-9000-000000000005,t1a2b3c4-1234-5678-9000-000000000008
a1b2c3d4-1234-5678-9000-000000000006,t1a2b3c4-1234-5678-9000-000000000009
a1b2c3d4-1234-5678-9000-000000000006,t1a2b3c4-1234-5678-9000-000000000010
a1b2c3d4-1234-5678-9000-000000000007,t1a2b3c4-1234-5678-9000-000000000011
a1b2c3d4-1234-5678-9000-000000000007,t1a2b3c4-1234-5678-9000-000000000012
a1b2c3d4-1234-5678-9000-000000000008,t1a2b3c4-1234-5678-9000-000000000013
a1b2c3d4-1234-5678-9000-000000000008,t1a2b3c4-1234-5678-9000-000000000014
a1b2c3d4-1234-5678-9000-000000000009,t1a2b3c4-1234-5678-9000-000000000015
